"SchemeCode","CritCode"
"200,109","4,200"
"200,109","5,024"
"200,109","5,025"
"200,109","5,044"
"200,109","5,053"
"200,109","5,133"
"200,109","5,161"
"200,109","5,164"
"200,109","5,167"
"200,109","5,187"
"200,109","5,235"
"200,109","5,245"
"200,114",6
"200,114",21
"200,114",26
"200,114",28
"200,114",29
"200,114",32
"200,114",37
"200,114",43
"200,114",50
"200,114",52
"200,114",54
"200,114",61
"200,114",70
"200,114",71
"200,114","4,195"
"200,114","5,043"
"200,114","5,184"
"200,117",7
"200,117",15
"200,117",19
"200,117",35
"200,117",66
"200,117","4,000"
"200,117","4,045"
"200,117","4,181"
"200,117","4,195"
"200,117","4,197"
"200,117","5,024"
"200,117","5,164"
"200,117","5,245"
"200,121",29
"200,121",41
"200,121",45
"200,121",48
"200,121",70
"200,121","4,000"
"200,121","5,000"
"200,121","5,025"
"200,121","5,043"
"200,121","5,074"
"200,121","5,184"
"200,121","5,245"
"200,122",35
"200,122",41
"200,122","4,000"
"200,122","5,000"
"200,133",75
"200,133","4,000"
"200,133","5,000"
"200,133","6,103"
"200,133","6,600"
"200,133","7,100"
"200,133","8,100"
"200,134",12
"200,134","4,045"
"200,134","4,053"
"200,134","4,122"
"200,134","4,157"
"200,134","4,181"
"200,134","4,184"
"200,134","4,195"
"200,134","5,000"
"200,137",51
"200,137","4,000"
"200,137","5,000"
"200,137","5,025"
"200,137","5,194"
"200,141",69
"200,141","4,016"
"200,141","4,025"
"200,141","4,045"
"200,141","4,188"
"200,141","4,195"
"200,141","4,197"
"200,141","5,005"
"200,141","5,024"
"200,141","5,025"
"200,141","5,027"
"200,141","5,043"
"200,141","5,044"
"200,141","5,053"
"200,141","5,074"
"200,141","5,164"
"200,141","5,196"
"200,141","5,245"
"200,141","6,101"
"200,141","6,103"
"200,141","6,105"
"200,141","6,106"
"200,141","6,107"
"200,141","6,108"
"200,141","6,109"
"200,141","6,110"
"200,141","6,111"
"200,141","6,112"
"200,141","6,113"
"200,141","6,114"
"200,141","6,601"
"200,141","6,602"
"200,141","7,101"
"200,141","7,102"
"200,141","7,104"
"200,141","8,100"
"200,156",26
"200,156","4,003"
"200,156","4,045"
"200,156","4,157"
"200,156","4,184"
"200,156","4,195"
"200,156","4,197"
"200,156","5,000"
"200,157",35
"200,157","4,003"
"200,157","4,157"
"200,157","4,174"
"200,157","4,181"
"200,157","4,184"
"200,157","4,197"
"200,157","5,024"
"200,157","5,025"
"200,157","5,027"
"200,157","5,044"
"200,157","5,045"
"200,157","5,047"
"200,157","5,053"
"200,157","5,062"
"200,157","5,074"
"200,157","5,085"
"200,157","5,097"
"200,157","5,133"
"200,157","5,161"
"200,157","5,164"
"200,157","5,185"
"200,157","5,194"
"200,157","5,235"
"200,157","5,245"
"200,160",36
"200,160","4,000"
"200,160","5,000"
"200,160","5,005"
"200,160","5,196"
"200,160","6,103"
"200,160","6,600"
