"Company ID","giving_type"
"5,039","Staff Involvement - Mentoring"
"5,040","Cause Related Marketing"
"5,040","Gifts-in-kind/Contra/Pro Bono"
"5,040","Sponsorship"
"5,040","Staff Involvement - Volunteering"
"2,333","Donations"
"2,333","Gifts-in-kind/Contra/Pro Bono"
"5,034","Sponsorship"
"5,035","Sponsorship"
"5,036","Cause Related Marketing"
"5,036","Gifts-in-kind/Contra/Pro Bono"
"5,036","Scholarships and Education"
"5,036","Staff Involvement"
"5,028","Cause Related Marketing"
"2,850","Staff Involvement - Fundraising"
"2,850","Staff Involvement - Governance"
"2,850","Staff Involvement - Mentoring"
"2,850","Staff Involvement - Volunteering"
"32,785","Scholarships and Education"
"32,785","Sponsorship"
"32,784","Products, Equipment and Services"
"32,784","Scholarships"
"32,784","Sponsorship"
"1,946","Payroll or Employee Giving"
"5,032","Cause Related Marketing"
"5,032","Donations"
"5,032","Foundation Grants"
"5,032","Gifts-in-kind/Contra/Pro Bono"
"5,032","Payroll or Employee Giving"
"5,032","Sponsorship"
"5,032","Staff Involvement"
"2,503","Cause Related Marketing"
"2,503","Sponsorship"
"2,503","Staff Involvement - Fundraising"
"32,844","Cause Related Marketing"
"32,844","Products, Equipment and Services"
"32,844","Sponsorship"
"32,888","Gifts-in-kind/Contra/Pro Bono"
"32,888","Scholarships and Education"
"32,888","Staff Involvement - Mentoring"
"32,888","Staff Involvement - Volunteering"
"32,882","Donations"
"32,882","Foundation Grants"
"32,882","Products, Equipment and Services"
"32,882","Sponsorship"
"32,882","Staff Involvement - Volunteering"
"32,854","Cause Related Marketing"
"32,854","Products, Equipment and Services"
"32,854","Sponsorship"
"32,854","Staff Involvement - Fundraising"
"32,878","Cause Related Marketing"
"32,878","Sponsorship"
"32,878","Staff Involvement - Volunteering"
"32,784","Staff Involvement - Governance"
"32,906","Gifts-in-kind/Contra/Pro Bono"
"32,906","Sponsorship"
"32,906","Staff Involvement"
"5,036","Sponsorship"
"32,903","Cause Related Marketing"
"32,903","Gifts-in-kind/Contra/Pro Bono"
"32,903","Sponsorship"
"32,903","Staff Involvement - Governance"
"32,903","Staff Involvement - Mentoring"
"32,903","Staff Involvement - Volunteering"
"5,026","Products, Equipment and Services"
"5,026","Sponsorship"
"5,026","Staff Involvement - Volunteering"
"5,009","Payroll or Employee Giving"
"32,901","Gifts-in-kind/Contra/Pro Bono"
"32,917","Sponsorship"
"32,889","Sponsorship"
"32,889","Staff Involvement - Fundraising"
"32,877","Foundation Grants"
"32,877","Payroll or Employee Giving"
"32,877","Scholarships and Education"
"32,877","Sponsorship"
"32,877","Staff Involvement - Volunteering"
"32,828","Donations"
"32,828","Sponsorship"
"32,828","Staff Involvement - Fundraising"
"32,889","Staff Involvement - Volunteering"
"5,025","Scholarships and Education"
"32,841","Gifts-in-kind/Contra/Pro Bono"
"32,841","Sponsorship"
"32,841","Staff Involvement - Fundraising"
"32,932","Donations"
"32,932","Gifts-in-kind/Contra/Pro Bono"
"32,932","Sponsorship"
"32,932","Staff Involvement"
"32,943","Gifts-in-kind/Contra/Pro Bono"
"32,943","Sponsorship"
"32,943","Staff Involvement - Volunteering"
"32,940","Gifts-in-kind/Contra/Pro Bono"
"32,940","Sponsorship"
"32,940","Staff Involvement - Volunteering"
"32,819","Cause Related Marketing"
"32,819","Gifts-in-kind/Contra/Pro Bono"
"32,819","Sponsorship"
"32,845","Donations"
"32,845","Gifts-in-kind/Contra/Pro Bono"
"32,845","Sponsorship"
"32,845","Staff Involvement - Volunteering"
"32,942","Gifts-in-kind/Contra/Pro Bono"
"32,942","Sponsorship"
"32,862","Sponsorship"
"32,862","Staff Involvement - Fundraising"
"32,862","Staff Involvement - Volunteering"
"32,821","Sponsorship"
"32,821","Sponsorship"
"5,027","Donations"
"5,027","Gifts-in-kind/Contra/Pro Bono"
"5,027","Sponsorship"
"32,859","Scholarships and Education"
"32,859","Sponsorship"
"32,944","Sponsorship"
"32,968","Cause Related Marketing"
"32,968","Gifts-in-kind/Contra/Pro Bono"
"32,968","Sponsorship"
"32,968","Staff Involvement - Volunteering"
"32,971","Gifts-in-kind/Contra/Pro Bono"
"32,971","Sponsorship"
"32,966","Scholarships and Education"
"32,959","Donations"
"32,959","Gifts-in-kind/Contra/Pro Bono"
"32,959","Sponsorship"
"32,984","Cause Related Marketing"
